Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
26.461,28.3,10.0,.1,.2,=SUM(B260:E260),73.0,60.0,=G260-F260,=H260-F260,
26.491,43.5,10.0,.1,.2,=SUM(B261:E261),73.0,60.0,=G261-F261,=H261-F261,
26.554,42.5,10.0,.1,.2,=SUM(B262:E262),73.0,60.0,=G262-F262,=H262-F262,
26.584,29.2,10.0,.1,.2,=SUM(B263:E263),73.0,60.0,=G263-F263,=H263-F263,
26.614,43.8,10.0,.1,.2,=SUM(B264:E264),73.0,60.0,=G264-F264,=H264-F264,
26.677,36.2,10.0,.1,.2,=SUM(B265:E265),73.0,60.0,=G265-F265,=H265-F265,
26.700,31.5,10.0,.1,.2,=SUM(B266:E266),73.0,60.0,=G266-F266,=H266-F266,
26.793,31.2,10.0,.1,.2,=SUM(B267:E267),73.0,60.0,=G267-F267,=H267-F267,
26.853,37.5,10.0,.1,.2,=SUM(B268:E268),73.0,60.0,=G268-F268,=H268-F268,
26.913,31.8,10.0,.1,.2,=SUM(B269:E269),73.0,60.0,=G269-F269,=H269-F269,
26.946,31.4,10.0,.1,.2,=SUM(B270:E270),73.0,60.0,=G270-F270,=H270-F270,
27.006,25.2,10.0,.1,.2,=SUM(B271:E271),73.0,60.0,=G271-F271,=H271-F271,
27.036,30.5,10.0,.1,.2,=SUM(B272:E272),73.0,60.0,=G272-F272,=H272-F272,
27.129,34.1,10.0,.1,.2,=SUM(B273:E273),73.0,60.0,=G273-F273,=H273-F273,
27.159,43.4,10.0,.1,.2,=SUM(B274:E274),73.0,60.0,=G274-F274,=H274-F274,
27.222,37.6,10.0,.1,.2,=SUM(B275:E275),73.0,60.0,=G275-F275,=H275-F275,
27.252,27.3,10.0,.1,.2,=SUM(B276:E276),73.0,60.0,=G276-F276,=H276-F276,
27.345,40.9,10.0,.1,.2,=SUM(B277:E277),73.0,60.0,=G277-F277,=H277-F277,
27.375,30.6,10.0,.1,.2,=SUM(B278:E278),73.0,60.0,=G278-F278,=H278-F278,
27.405,33.9,10.0,.1,.2,=SUM(B279:E279),73.0,60.0,=G279-F279,=H279-F279,
27.434,27.2,10.0,.1,.2,=SUM(B280:E280),73.0,60.0,=G280-F280,=H280-F280,
27.621,32.1,10.0,.1,.2,=SUM(B281:E281),73.0,60.0,=G281-F281,=H281-F281,
27.650,26.1,10.0,.1,.2,=SUM(B282:E282),73.0,60.0,=G282-F282,=H282-F282,
27.680,33.1,10.0,.1,.2,=SUM(B283:E283),73.0,60.0,=G283-F283,=H283-F283,
27.710,35.9,10.0,.1,.2,=SUM(B284:E284),73.0,60.0,=G284-F284,=H284-F284,
27.744,27.4,10.0,.1,.2,=SUM(B285:E285),73.0,60.0,=G285-F285,=H285-F285,
27.767,25.5,10.0,.1,.2,=SUM(B286:E286),73.0,60.0,=G286-F286,=H286-F286,
27.833,27.3,10.0,.1,.2,=SUM(B287:E287),73.0,60.0,=G287-F287,=H287-F287,
27.896,37.7,10.0,.1,.2,=SUM(B288:E288),73.0,60.0,=G288-F288,=H288-F288,
27.926,31.8,10.0,.1,.2,=SUM(B289:E289),73.0,60.0,=G289-F289,=H289-F289,
27.956,37.6,10.0,.1,.2,=SUM(B290:E290),73.0,60.0,=G290-F290,=H290-F290,
27.986,31.1,10.0,.1,.2,=SUM(B291:E291),73.0,60.0,=G291-F291,=H291-F291,
28.016,32.0,10.0,.1,.2,=SUM(B292:E292),73.0,60.0,=G292-F292,=H292-F292,
28.049,26.1,10.0,.1,.2,=SUM(B293:E293),73.0,60.0,=G293-F293,=H293-F293,
28.109,31.4,10.0,.1,.2,=SUM(B294:E294),73.0,60.0,=G294-F294,=H294-F294,
28.142,28.3,10.0,.1,.2,=SUM(B295:E295),73.0,60.0,=G295-F295,=H295-F295,
28.172,29.2,10.0,.1,.2,=SUM(B296:E296),73.0,60.0,=G296-F296,=H296-F296,
28.295,37.6,10.0,.1,.2,=SUM(B297:E297),73.0,60.0,=G297-F297,=H297-F297,
28.325,37.9,10.0,.1,.2,=SUM(B298:E298),73.0,60.0,=G298-F298,=H298-F298,
28.348,35.0,10.0,.1,.2,=SUM(B299:E299),73.0,60.0,=G299-F299,=H299-F299,
28.378,33.4,10.0,.1,.2,=SUM(B300:E300),73.0,60.0,=G300-F300,=H300-F300,
28.408,29.0,10.0,.1,.2,=SUM(B301:E301),73.0,60.0,=G301-F301,=H301-F301,
28.438,37.2,10.0,.1,.2,=SUM(B302:E302),73.0,60.0,=G302-F302,=H302-F302,
28.471,30.0,10.0,.1,.2,=SUM(B303:E303),73.0,60.0,=G303-F303,=H303-F303,
28.501,37.0,10.0,.1,.2,=SUM(B304:E304),73.0,60.0,=G304-F304,=H304-F304,
28.561,39.6,10.0,.1,.2,=SUM(B305:E305),73.0,60.0,=G305-F305,=H305-F305,
28.591,30.4,10.0,.1,.2,=SUM(B306:E306),73.0,60.0,=G306-F306,=H306-F306,
28.624,37.7,10.0,.1,.2,=SUM(B307:E307),73.0,60.0,=G307-F307,=H307-F307,
28.684,41.6,10.0,.1,.2,=SUM(B308:E308),73.0,60.0,=G308-F308,=H308-F308,
28.744,34.0,10.0,.1,.2,=SUM(B309:E309),73.0,60.0,=G309-F309,=H309-F309,
28.804,31.3,10.0,.1,.2,=SUM(B310:E310),73.0,60.0,=G310-F310,=H310-F310,
28.867,35.7,10.0,.1,.2,=SUM(B311:E311),73.0,60.0,=G311-F311,=H311-F311,
28.897,32.5,10.0,.1,.2,=SUM(B312:E312),73.0,60.0,=G312-F312,=H312-F312,
28.927,31.5,10.0,.1,.2,=SUM(B313:E313),73.0,60.0,=G313-F313,=H313-F313,
28.986,32.1,10.0,.1,.2,=SUM(B314:E314),73.0,60.0,=G314-F314,=H314-F314,
29.020,27.2,10.0,.1,.2,=SUM(B315:E315),73.0,60.0,=G315-F315,=H315-F315,
29.050,26.7,10.0,.1,.2,=SUM(B316:E316),73.0,60.0,=G316-F316,=H316-F316,
29.079,26.2,10.0,.1,.2,=SUM(B317:E317),73.0,60.0,=G317-F317,=H317-F317,
29.109,37.5,10.0,.1,.2,=SUM(B318:E318),73.0,60.0,=G318-F318,=H318-F318,
29.139,33.5,10.0,.1,.2,=SUM(B319:E319),73.0,60.0,=G319-F319,=H319-F319,
29.169,31.6,10.0,.1,.2,=SUM(B320:E320),73.0,60.0,=G320-F320,=H320-F320,
29.232,39.6,10.0,.1,.2,=SUM(B321:E321),73.0,60.0,=G321-F321,=H321-F321,
29.292,25.8,10.0,.1,.2,=SUM(B322:E322),73.0,60.0,=G322-F322,=H322-F322,
29.355,32.6,10.0,.1,.2,=SUM(B323:E323),73.0,60.0,=G323-F323,=H323-F323,
29.475,33.0,10.0,.1,.2,=SUM(B324:E324),73.0,60.0,=G324-F324,=H324-F324,
29.535,25.2,10.0,.1,.2,=SUM(B325:E325),73.0,60.0,=G325-F325,=H325-F325,
29.598,24.4,10.0,.1,.2,=SUM(B326:E326),73.0,60.0,=G326-F326,=H326-F326,
29.658,30.4,10.0,.1,.2,=SUM(B327:E327),73.0,60.0,=G327-F327,=H327-F327,
29.688,27.9,10.0,.1,.2,=SUM(B328:E328),73.0,60.0,=G328-F328,=H328-F328,
29.751,27.3,10.0,.1,.2,=SUM(B329:E329),73.0,60.0,=G329-F329,=H329-F329,
29.781,31.3,10.0,.1,.2,=SUM(B330:E330),73.0,60.0,=G330-F330,=H330-F330,
29.811,29.7,10.0,.1,.2,=SUM(B331:E331),73.0,60.0,=G331-F331,=H331-F331,
29.841,30.4,10.0,.1,.2,=SUM(B332:E332),73.0,60.0,=G332-F332,=H332-F332,
29.904,31.6,10.0,.1,.2,=SUM(B333:E333),73.0,60.0,=G333-F333,=H333-F333,
29.963,30.4,10.0,.1,.2,=SUM(B334:E334),73.0,60.0,=G334-F334,=H334-F334,
