Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
19.382,30.3,10.0,.1,.1,=SUM(B128:E128),73.0,60.0,=G128-F128,=H128-F128,
19.468,31.4,10.0,.1,.1,=SUM(B129:E129),73.0,60.0,=G129-F129,=H129-F129,
19.528,29.8,10.0,.1,.1,=SUM(B130:E130),73.0,60.0,=G130-F130,=H130-F130,
19.591,33.9,10.0,.1,.1,=SUM(B131:E131),73.0,60.0,=G131-F131,=H131-F131,
19.641,32.5,10.0,.1,.1,=SUM(B132:E132),73.0,60.0,=G132-F132,=H132-F132,
19.668,31.9,10.0,.1,.1,=SUM(B133:E133),73.0,60.0,=G133-F133,=H133-F133,
19.681,32.1,10.0,.1,.1,=SUM(B134:E134),73.0,60.0,=G134-F134,=H134-F134,
19.714,38.6,10.0,.1,.1,=SUM(B135:E135),73.0,60.0,=G135-F135,=H135-F135,
19.774,31.9,10.0,.1,.1,=SUM(B136:E136),73.0,60.0,=G136-F136,=H136-F136,
19.837,27.4,10.0,.1,.1,=SUM(B137:E137),73.0,60.0,=G137-F137,=H137-F137,
19.894,33.8,10.0,.1,.1,=SUM(B138:E138),73.0,60.0,=G138-F138,=H138-F138,
19.920,30.0,10.0,.1,.1,=SUM(B139:E139),73.0,60.0,=G139-F139,=H139-F139,
19.964,34.1,10.0,.1,.1,=SUM(B140:E140),73.0,60.0,=G140-F140,=H140-F140,
20.020,32.9,10.0,.1,.1,=SUM(B141:E141),73.0,60.0,=G141-F141,=H141-F141,
20.077,27.8,10.0,.1,.1,=SUM(B142:E142),73.0,60.0,=G142-F142,=H142-F142,
20.166,29.8,10.0,.1,.1,=SUM(B143:E143),73.0,60.0,=G143-F143,=H143-F143,
