3:58:01 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\02_PLCE_230Vac50Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\Cispr 11\CISPR11_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
CISPR 11 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
CISPR 11 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level

0.15, 10.907 , 10 , 0.0287 , 0.06 ,20.9957
0.153323, 13.6898 , 10 , 0.0294 , 0.05 ,23.7692
0.156647, 13.6187 , 10 , 0.0301 , 0.05 ,23.6988
0.15997, 12.2273 , 10 , 0.0307 , 0.05 ,22.308
0.163293, 11.9947 , 10 , 0.0314 , 0.05 ,22.0761
0.166617, 12.7278 , 10 , 0.0321 , 0.05 ,22.8099
0.16994, 11.8903 , 10 , 0.0328 , 0.05 ,21.9731
0.173263, 11.1743 , 10 , 0.0334 , 0.05 ,21.2577
0.176587, 11.296 , 10 , 0.0341 , 0.0418 ,21.3719
0.17991, 13.3691 , 10 , 0.0348 , 0.05 ,23.4539
0.183233, 14.2822 , 10 , 0.0355 , 0.04 ,24.3577
0.186556, 13.9503 , 10 , 0.0362 , 0.04 ,24.0265
0.18988, 10.9744 , 10 , 0.0368 , 0.04 ,21.0512
0.193203, 11.399 , 10 , 0.0375 , 0.04 ,21.4765
0.196526, 11.4262 , 10 , 0.0382 , 0.04 ,21.5044
0.19985, 11.4505 , 10 , 0.0388 , 0.04 ,21.5293
0.203173, 11.5196 , 10 , 0.0395 , 0.04 ,21.5991
0.206496, 12.1103 , 10 , 0.0402 , 0.04 ,22.1905
0.20982, 11.4414 , 10 , 0.0409 , 0.04 ,21.5223
0.213143, 11.3372 , 10 , 0.0415 , 0.04 ,21.4187
0.216466, 12.8043 , 10 , 0.0422 , 0.0313 ,22.8778
0.21979, 12.3462 , 10 , 0.0429 , 0.03 ,22.4191
0.223113, 12.0117 , 10 , 0.0436 , 0.03 ,22.0853
0.226436, 10.4264 , 10 , 0.0443 , 0.03 ,20.5007
0.22976, 11.4282 , 10 , 0.0449 , 0.03 ,21.5031
0.233083, 11.0247 , 10 , 0.0456 , 0.03 ,21.1003
0.236406, 11.4658 , 10 , 0.0463 , 0.03 ,21.5421
0.239729, 12.1444 , 10 , 0.0469 , 0.03 ,22.2213
0.243053, 12.7235 , 10 , 0.0476 , 0.03 ,22.8011
0.246376, 13.137 , 10 , 0.0483 , 0.03 ,23.2153
0.249699, 13.108 , 10 , 0.049 , 0.03 ,23.187
0.253023, 15.4351 , 10 , 0.0497 , 0.03 ,25.5148
0.256346, 15.439 , 10 , 0.0503 , 0.03 ,25.5193
0.259669, 15.0264 , 10 , 0.051 , 0.03 ,25.1074
0.262993, 13.8258 , 10 , 0.0517 , 0.03 ,23.9075
0.266316, 11.7739 , 10 , 0.0524 , 0.03 ,21.8563
0.269639, 11.4911 , 10 , 0.053 , 0.03 ,21.5741
0.272963, 11.6697 , 10 , 0.0537 , 0.03 ,21.7534
0.276286, 11.252 , 10 , 0.0544 , 0.03 ,21.3364
0.279609, 11.1482 , 10 , 0.0551 , 0.03 ,21.2333
0.282933, 10.8519 , 10 , 0.0557 , 0.03 ,20.9376
0.286256, 12.0102 , 10 , 0.0564 , 0.03 ,22.0966
0.289579, 12.0159 , 10 , 0.0571 , 0.03 ,22.103
0.292902, 11.9552 , 10 , 0.0578 , 0.0257 ,22.0387
0.296226, 12.2996 , 10 , 0.0584 , 0.0264 ,22.3844
0.299549, 12.0982 , 10 , 0.0591 , 0.03 ,22.1873
0.302872, 12.3173 , 10 , 0.0598 , 0.0206 ,22.3977
0.306196, 12.9809 , 10 , 0.0605 , 0.03 ,23.0714
0.309519, 13.3557 , 10 , 0.0611 , 0.03 ,23.4468
0.312842, 13.2805 , 10 , 0.0618 , 0.03 ,23.3723
0.316166, 11.7665 , 10 , 0.0625 , 0.0213 ,21.8503
0.319489, 11.7122 , 10 , 0.0632 , 0.0292 ,21.8046
0.322812, 11.6882 , 10 , 0.0638 , 0.03 ,21.782
0.326136, 12.2818 , 10 , 0.0645 , 0.03 ,22.3763
