Frequency,Detector,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Angle, Height, Comments
23.9549,SCAN  ,33.7,10.0,.1,.2,=SUM(C89:F89),73.0,60.0,=H89-G89,=I89-G89,0,0,
18.4880,SCAN  ,33.7,10.0,.1,.1,=SUM(C90:F90),73.0,60.0,=H90-G90,=I90-G90,0,0,
28.3782,SCAN  ,33.6,10.0,.1,.2,=SUM(C91:F91),73.0,60.0,=H91-G91,=I91-G91,0,0,
25.0250,SCAN  ,33.5,10.0,.1,.2,=SUM(C92:F92),73.0,60.0,=H92-G92,=I92-G92,0,0,
21.4857,SCAN  ,33.3,10.0,.1,.2,=SUM(C93:F93),73.0,60.0,=H93-G93,=I93-G93,0,0,
21.3660,SCAN  ,33.3,10.0,.1,.2,=SUM(C94:F94),73.0,60.0,=H94-G94,=I94-G94,0,0,
28.7438,SCAN  ,33.3,10.0,.1,.2,=SUM(C95:F95),73.0,60.0,=H95-G95,=I95-G95,0,0,
16.2315,SCAN  ,33.3,10.0,.1,.1,=SUM(C96:F96),73.0,60.0,=H96-G96,=I96-G96,0,0,
27.6803,SCAN  ,33.1,10.0,.1,.2,=SUM(C97:F97),73.0,60.0,=H97-G97,=I97-G97,0,0,
22.3065,SCAN  ,33.1,10.0,.1,.2,=SUM(C98:F98),73.0,60.0,=H98-G98,=I98-G98,0,0,
29.3520,SCAN  ,33.0,10.0,.1,.2,=SUM(C99:F99),73.0,60.0,=H99-G99,=I99-G99,0,0,
28.0193,SCAN  ,33.0,10.0,.1,.2,=SUM(C100:F100),73.0,60.0,=H100-G100,=I100-G100,0,0,
19.1594,SCAN  ,33.0,10.0,.1,.1,=SUM(C101:F101),73.0,60.0,=H101-G101,=I101-G101,0,0,
21.6053,SCAN  ,33.0,10.0,.1,.2,=SUM(C102:F102),73.0,60.0,=H102-G102,=I102-G102,0,0,
22.0905,SCAN  ,32.9,10.0,.1,.2,=SUM(C103:F103),73.0,60.0,=H103-G103,=I103-G103,0,0,
29.1426,SCAN  ,32.9,10.0,.1,.2,=SUM(C104:F104),73.0,60.0,=H104-G104,=I104-G104,0,0,
19.8971,SCAN  ,32.9,10.0,.1,.1,=SUM(C105:F105),73.0,60.0,=H105-G105,=I105-G105,0,0,
28.8967,SCAN  ,32.9,10.0,.1,.2,=SUM(C106:F106),73.0,60.0,=H106-G106,=I106-G106,0,0,
27.9263,SCAN  ,32.8,10.0,.1,.2,=SUM(C107:F107),73.0,60.0,=H107-G107,=I107-G107,0,0,
22.1503,SCAN  ,32.8,10.0,.1,.2,=SUM(C108:F108),73.0,60.0,=H108-G108,=I108-G108,0,0,
22.4893,SCAN  ,32.8,10.0,.1,.2,=SUM(C109:F109),73.0,60.0,=H109-G109,=I109-G109,0,0,
20.0168,SCAN  ,32.8,10.0,.1,.1,=SUM(C110:F110),73.0,60.0,=H110-G110,=I110-G110,0,0,
20.4422,SCAN  ,32.8,10.0,.1,.1,=SUM(C111:F111),73.0,60.0,=H111-G111,=I111-G111,0,0,
26.0619,SCAN  ,32.7,10.0,.1,.2,=SUM(C112:F112),73.0,60.0,=H112-G112,=I112-G112,0,0,
13.7856,SCAN  ,32.7,10.0,.1,.1,=SUM(C113:F113),73.0,60.0,=H113-G113,=I113-G113,0,0,
26.3078,SCAN  ,32.7,10.0,.1,.2,=SUM(C114:F114),73.0,60.0,=H114-G114,=I114-G114,0,0,
25.6631,SCAN  ,32.6,10.0,.1,.2,=SUM(C115:F115),73.0,60.0,=H115-G115,=I115-G115,0,0,
21.8446,SCAN  ,32.6,10.0,.1,.2,=SUM(C116:F116),73.0,60.0,=H116-G116,=I116-G116,0,0,
17.9430,SCAN  ,32.5,10.0,.1,.1,=SUM(C117:F117),73.0,60.0,=H117-G117,=I117-G117,0,0,
26.9126,SCAN  ,32.5,10.0,.1,.2,=SUM(C118:F118),73.0,60.0,=H118-G118,=I118-G118,0,0,
19.4684,SCAN  ,32.5,10.0,.1,.1,=SUM(C119:F119),73.0,60.0,=H119-G119,=I119-G119,0,0,
27.6205,SCAN  ,32.4,10.0,.1,.2,=SUM(C120:F120),73.0,60.0,=H120-G120,=I120-G120,0,0,
21.0304,SCAN  ,32.4,10.0,.1,.2,=SUM(C121:F121),73.0,60.0,=H121-G121,=I121-G121,0,0,
24.8422,SCAN  ,32.3,10.0,.1,.2,=SUM(C122:F122),73.0,60.0,=H122-G122,=I122-G122,0,0,
23.7090,SCAN  ,32.3,10.0,.1,.2,=SUM(C123:F123),73.0,60.0,=H123-G123,=I123-G123,0,0,
28.9897,SCAN  ,32.3,10.0,.1,.2,=SUM(C124:F124),73.0,60.0,=H124-G124,=I124-G124,0,0,
28.9266,SCAN  ,32.1,10.0,.1,.2,=SUM(C125:F125),73.0,60.0,=H125-G125,=I125-G125,0,0,
21.3793,SCAN  ,32.2,10.0,.1,.2,=SUM(C126:F126),73.0,60.0,=H126-G126,=I126-G126,0,0,
23.5860,SCAN  ,32.1,10.0,.1,.2,=SUM(C127:F127),73.0,60.0,=H127-G127,=I127-G127,0,0,
19.7742,SCAN  ,32.2,10.0,.1,.1,=SUM(C128:F128),73.0,60.0,=H128-G128,=I128-G128,0,0,
16.1684,SCAN  ,32.1,10.0,.1,.1,=SUM(C129:F129),73.0,60.0,=H129-G129,=I129-G129,0,0,
26.1549,SCAN  ,32.0,10.0,.1,.2,=SUM(C130:F130),73.0,60.0,=H130-G130,=I130-G130,0,0,
29.4782,SCAN  ,31.9,10.0,.1,.2,=SUM(C131:F131),73.0,60.0,=H131-G131,=I131-G131,0,0,
20.5020,SCAN  ,32.0,10.0,.1,.1,=SUM(C132:F132),73.0,60.0,=H132-G132,=I132-G132,0,0,
28.8069,SCAN  ,31.9,10.0,.1,.2,=SUM(C133:F133),73.0,60.0,=H133-G133,=I133-G133,0,0,
26.7930,SCAN  ,31.9,10.0,.1,.2,=SUM(C134:F134),73.0,60.0,=H134-G134,=I134-G134,0,0,
29.9036,SCAN  ,31.9,10.0,.1,.2,=SUM(C135:F135),73.0,60.0,=H135-G135,=I135-G135,0,0,
24.7824,SCAN  ,31.9,10.0,.1,.2,=SUM(C136:F136),73.0,60.0,=H136-G136,=I136-G136,0,0,
29.1725,SCAN  ,31.8,10.0,.1,.2,=SUM(C137:F137),73.0,60.0,=H137-G137,=I137-G137,0,0,
25.2676,SCAN  ,31.8,10.0,.1,.2,=SUM(C138:F138),73.0,60.0,=H138-G138,=I138-G138,0,0,
22.2434,SCAN  ,31.8,10.0,.1,.2,=SUM(C139:F139),73.0,60.0,=H139-G139,=I139-G139,0,0,
20.6249,SCAN  ,31.8,10.0,.1,.1,=SUM(C140:F140),73.0,60.0,=H140-G140,=I140-G140,0,0,
24.4733,SCAN  ,31.8,10.0,.1,.2,=SUM(C141:F141),73.0,60.0,=H141-G141,=I141-G141,0,0,
19.9603,SCAN  ,31.8,10.0,.1,.1,=SUM(C142:F142),73.0,60.0,=H142-G142,=I142-G142,0,0,
20.0766,SCAN  ,31.8,10.0,.1,.1,=SUM(C143:F143),73.0,60.0,=H143-G143,=I143-G143,0,0,
24.3803,SCAN  ,31.7,10.0,.1,.2,=SUM(C144:F144),73.0,60.0,=H144-G144,=I144-G144,0,0,
17.5708,SCAN  ,31.7,10.0,.1,.1,=SUM(C145:F145),73.0,60.0,=H145-G145,=I145-G145,0,0,
18.4249,SCAN  ,31.6,10.0,.1,.1,=SUM(C146:F146),73.0,60.0,=H146-G146,=I146-G146,0,0,
25.1712,SCAN  ,31.5,10.0,.1,.2,=SUM(C147:F147),73.0,60.0,=H147-G147,=I147-G147,0,0,
26.6999,SCAN  ,31.5,10.0,.1,.2,=SUM(C148:F148),73.0,60.0,=H148-G148,=I148-G148,0,0,
20.5684,SCAN  ,31.5,10.0,.1,.1,=SUM(C149:F149),73.0,60.0,=H149-G149,=I149-G149,0,0,
23.6458,SCAN  ,31.4,10.0,.1,.2,=SUM(C150:F150),73.0,60.0,=H150-G150,=I150-G150,0,0,
19.0962,SCAN  ,31.4,10.0,.1,.1,=SUM(C151:F151),73.0,60.0,=H151-G151,=I151-G151,0,0,
25.3274,SCAN  ,31.4,10.0,.1,.2,=SUM(C152:F152),73.0,60.0,=H152-G152,=I152-G152,0,0,
27.9894,SCAN  ,31.3,10.0,.1,.2,=SUM(C153:F153),73.0,60.0,=H153-G153,=I153-G153,0,0,
15.9989,SCAN  ,31.4,10.0,.1,.1,=SUM(C154:F154),73.0,60.0,=H154-G154,=I154-G154,0,0,
23.0077,SCAN  ,31.3,10.0,.1,.2,=SUM(C155:F155),73.0,60.0,=H155-G155,=I155-G155,0,0,
24.4135,SCAN  ,31.2,10.0,.1,.2,=SUM(C156:F156),73.0,60.0,=H156-G156,=I156-G156,0,0,
19.6778,SCAN  ,31.2,10.0,.1,.1,=SUM(C157:F157),73.0,60.0,=H157-G157,=I157-G157,0,0,
25.8159,SCAN  ,31.2,10.0,.1,.2,=SUM(C158:F158),73.0,60.0,=H158-G158,=I158-G158,0,0,
29.7807,SCAN  ,31.1,10.0,.1,.2,=SUM(C159:F159),73.0,60.0,=H159-G159,=I159-G159,0,0,
14.0315,SCAN  ,31.1,10.0,.1,.1,=SUM(C160:F160),73.0,60.0,=H160-G160,=I160-G160,0,0,
17.3880,SCAN  ,31.1,10.0,.1,.1,=SUM(C161:F161),73.0,60.0,=H161-G161,=I161-G161,0,0,
27.3746,SCAN  ,31.0,10.0,.1,.2,=SUM(C162:F162),73.0,60.0,=H162-G162,=I162-G162,0,0,
26.9459,SCAN  ,31.0,10.0,.1,.2,=SUM(C163:F163),73.0,60.0,=H163-G163,=I163-G163,0,0,
24.3238,SCAN  ,31.0,10.0,.1,.2,=SUM(C164:F164),73.0,60.0,=H164-G164,=I164-G164,0,0,
29.6577,SCAN  ,31.0,10.0,.1,.2,=SUM(C165:F165),73.0,60.0,=H165-G165,=I165-G165,0,0,
27.0356,SCAN  ,31.0,10.0,.1,.2,=SUM(C166:F166),73.0,60.0,=H166-G166,=I166-G166,0,0,
29.8438,SCAN  ,31.0,10.0,.1,.2,=SUM(C167:F167),73.0,60.0,=H167-G167,=I167-G167,0,0,
18.1889,SCAN  ,31.0,10.0,.1,.1,=SUM(C168:F168),73.0,60.0,=H168-G168,=I168-G168,0,0,
22.7651,SCAN  ,30.8,10.0,.1,.2,=SUM(C169:F169),73.0,60.0,=H169-G169,=I169-G169,0,0,
20.1663,SCAN  ,30.8,10.0,.1,.1,=SUM(C170:F170),73.0,60.0,=H170-G170,=I170-G170,0,0,
26.0320,SCAN  ,30.7,10.0,.1,.2,=SUM(C171:F171),73.0,60.0,=H171-G171,=I171-G171,0,0,
19.5282,SCAN  ,30.7,10.0,.1,.1,=SUM(C172:F172),73.0,60.0,=H172-G172,=I172-G172,0,0,
26.3377,SCAN  ,30.7,10.0,.1,.2,=SUM(C173:F173),73.0,60.0,=H173-G173,=I173-G173,0,0,
15.0916,SCAN  ,30.7,10.0,.1,.1,=SUM(C174:F174),73.0,60.0,=H174-G174,=I174-G174,0,0,
28.1090,SCAN  ,30.6,10.0,.1,.2,=SUM(C175:F175),73.0,60.0,=H175-G175,=I175-G175,0,0,
14.2774,SCAN  ,30.6,10.0,.1,.1,=SUM(C176:F176),73.0,60.0,=H176-G176,=I176-G176,0,0,
25.4205,SCAN  ,30.5,10.0,.1,.2,=SUM(C177:F177),73.0,60.0,=H177-G177,=I177-G177,0,0,
29.8106,SCAN  ,30.5,10.0,.1,.2,=SUM(C178:F178),73.0,60.0,=H178-G178,=I178-G178,0,0,
14.0880,SCAN  ,30.4,10.0,.1,.1,=SUM(C179:F179),73.0,60.0,=H179-G179,=I179-G179,0,0,
14.1511,SCAN  ,30.4,10.0,.1,.1,=SUM(C180:F180),73.0,60.0,=H180-G180,=I180-G180,0,0,
25.7262,SCAN  ,30.3,10.0,.1,.2,=SUM(C181:F181),73.0,60.0,=H181-G181,=I181-G181,0,0,
29.9634,SCAN  ,30.3,10.0,.1,.2,=SUM(C182:F182),73.0,60.0,=H182-G182,=I182-G182,0,0,
16.8364,SCAN  ,30.3,10.0,.1,.1,=SUM(C183:F183),73.0,60.0,=H183-G183,=I183-G183,0,0,
16.8995,SCAN  ,30.3,10.0,.1,.1,=SUM(C184:F184),73.0,60.0,=H184-G184,=I184-G184,0,0,
24.2573,SCAN  ,30.2,10.0,.1,.2,=SUM(C185:F185),73.0,60.0,=H185-G185,=I185-G185,0,0,
18.2886,SCAN  ,30.2,10.0,.1,.1,=SUM(C186:F186),73.0,60.0,=H186-G186,=I186-G186,0,0,
18.6210,SCAN  ,30.2,10.0,.1,.1,=SUM(C187:F187),73.0,60.0,=H187-G187,=I187-G187,0,0,
28.5942,SCAN  ,30.1,10.0,.1,.2,=SUM(C188:F188),73.0,60.0,=H188-G188,=I188-G188,0,0,
17.0823,SCAN  ,30.2,10.0,.1,.1,=SUM(C189:F189),73.0,60.0,=H189-G189,=I189-G189,0,0,
21.2996,SCAN  ,30.1,10.0,.1,.2,=SUM(C190:F190),73.0,60.0,=H190-G190,=I190-G190,0,0,
29.1991,SCAN  ,29.9,10.0,.1,.2,=SUM(C191:F191),73.0,60.0,=H191-G191,=I191-G191,0,0,
23.4963,SCAN  ,29.9,10.0,.1,.2,=SUM(C192:F192),73.0,60.0,=H192-G192,=I192-G192,0,0,
10.5486,SCAN  ,30.0,10.0,.1,.1,=SUM(C193:F193),73.0,60.0,=H193-G193,=I193-G193,0,0,
28.1722,SCAN  ,29.9,10.0,.1,.2,=SUM(C194:F194),73.0,60.0,=H194-G194,=I194-G194,0,0,
28.4713,SCAN  ,29.9,10.0,.1,.2,=SUM(C195:F195),73.0,60.0,=H195-G195,=I195-G195,0,0,
28.4081,SCAN  ,29.8,10.0,.1,.2,=SUM(C196:F196),73.0,60.0,=H196-G196,=I196-G196,0,0,
