Frequency,Detector,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Angle, Height, Comments
18.5479,SCAN  ,27.5,10.0,.1,.1,=SUM(C244:F244),73.0,60.0,=H244-G244,=I244-G244,0,0,
27.7435,SCAN  ,27.4,10.0,.1,.2,=SUM(C245:F245),73.0,60.0,=H245-G245,=I245-G245,0,0,
19.2823,SCAN  ,27.4,10.0,.1,.1,=SUM(C246:F246),73.0,60.0,=H246-G246,=I246-G246,0,0,
17.2086,SCAN  ,27.3,10.0,.1,.1,=SUM(C247:F247),73.0,60.0,=H247-G247,=I247-G247,0,0,
27.4344,SCAN  ,27.2,10.0,.1,.2,=SUM(C248:F248),73.0,60.0,=H248-G248,=I248-G248,0,0,
16.3545,SCAN  ,27.2,10.0,.1,.1,=SUM(C249:F249),73.0,60.0,=H249-G249,=I249-G249,0,0,
15.9291,SCAN  ,27.1,10.0,.1,.1,=SUM(C250:F250),73.0,60.0,=H250-G250,=I250-G250,0,0,
25.0516,SCAN  ,27.0,10.0,.1,.2,=SUM(C251:F251),73.0,60.0,=H251-G251,=I251-G251,0,0,
16.4143,SCAN  ,27.0,10.0,.1,.1,=SUM(C252:F252),73.0,60.0,=H252-G252,=I252-G252,0,0,
29.5347,SCAN  ,26.9,10.0,.1,.2,=SUM(C253:F253),73.0,60.0,=H253-G253,=I253-G253,0,0,
17.7270,SCAN  ,26.9,10.0,.1,.1,=SUM(C254:F254),73.0,60.0,=H254-G254,=I254-G254,0,0,
10.6982,SCAN  ,26.9,10.0,.1,.1,=SUM(C255:F255),73.0,60.0,=H255-G255,=I255-G255,0,0,
29.0196,SCAN  ,26.7,10.0,.1,.2,=SUM(C256:F256),73.0,60.0,=H256-G256,=I256-G256,0,0,
18.7639,SCAN  ,26.8,10.0,.1,.1,=SUM(C257:F257),73.0,60.0,=H257-G257,=I257-G257,0,0,
29.2955,SCAN  ,26.7,10.0,.1,.2,=SUM(C258:F258),73.0,60.0,=H258-G258,=I258-G258,0,0,
18.6808,SCAN  ,26.7,10.0,.1,.1,=SUM(C259:F259),73.0,60.0,=H259-G259,=I259-G259,0,0,
17.5110,SCAN  ,26.7,10.0,.1,.1,=SUM(C260:F260),73.0,60.0,=H260-G260,=I260-G260,0,0,
28.0492,SCAN  ,26.5,10.0,.1,.2,=SUM(C261:F261),73.0,60.0,=H261-G261,=I261-G261,0,0,
15.6765,SCAN  ,26.5,10.0,.1,.1,=SUM(C262:F262),73.0,60.0,=H262-G262,=I262-G262,0,0,
16.5373,SCAN  ,26.4,10.0,.1,.1,=SUM(C263:F263),73.0,60.0,=H263-G263,=I263-G263,0,0,
29.0495,SCAN  ,26.3,10.0,.1,.2,=SUM(C264:F264),73.0,60.0,=H264-G264,=I264-G264,0,0,
16.6569,SCAN  ,26.3,10.0,.1,.1,=SUM(C265:F265),73.0,60.0,=H265-G265,=I265-G265,0,0,
10.6284,SCAN  ,26.3,10.0,.1,.1,=SUM(C266:F266),73.0,60.0,=H266-G266,=I266-G266,0,0,
23.3168,SCAN  ,26.1,10.0,.1,.2,=SUM(C267:F267),73.0,60.0,=H267-G267,=I267-G267,0,0,
16.6004,SCAN  ,26.2,10.0,.1,.1,=SUM(C268:F268),73.0,60.0,=H268-G268,=I268-G268,0,0,
19.2192,SCAN  ,26.1,10.0,.1,.1,=SUM(C269:F269),73.0,60.0,=H269-G269,=I269-G269,0,0,
17.2285,SCAN  ,26.1,10.0,.1,.1,=SUM(C270:F270),73.0,60.0,=H270-G270,=I270-G270,0,0,
26.7299,SCAN  ,26.0,10.0,.1,.2,=SUM(C271:F271),73.0,60.0,=H271-G271,=I271-G271,0,0,
18.8835,SCAN  ,26.0,10.0,.1,.1,=SUM(C272:F272),73.0,60.0,=H272-G272,=I272-G272,0,0,
16.6901,SCAN  ,25.9,10.0,.1,.1,=SUM(C273:F273),73.0,60.0,=H273-G273,=I273-G273,0,0,
19.0364,SCAN  ,25.7,10.0,.1,.1,=SUM(C274:F274),73.0,60.0,=H274-G274,=I274-G274,0,0,
25.3706,SCAN  ,25.7,10.0,.1,.2,=SUM(C275:F275),73.0,60.0,=H275-G275,=I275-G275,0,0,
17.7602,SCAN  ,25.6,10.0,.1,.1,=SUM(C276:F276),73.0,60.0,=H276-G276,=I276-G276,0,0,
3.7325,SCAN   ,25.6,10.0,.1,.0,=SUM(C277:F277),73.0,60.0,=H277-G277,=I277-G277,0,0,
27.0057,SCAN  ,25.4,10.0,.1,.2,=SUM(C278:F278),73.0,60.0,=H278-G278,=I278-G278,0,0,
16.7466,SCAN  ,25.5,10.0,.1,.1,=SUM(C279:F279),73.0,60.0,=H279-G279,=I279-G279,0,0,
16.6370,SCAN  ,25.4,10.0,.1,.1,=SUM(C280:F280),73.0,60.0,=H280-G280,=I280-G280,0,0,
15.8659,SCAN  ,25.2,10.0,.1,.1,=SUM(C281:F281),73.0,60.0,=H281-G281,=I281-G281,0,0,
27.7734,SCAN  ,25.1,10.0,.1,.2,=SUM(C282:F282),73.0,60.0,=H282-G282,=I282-G282,0,0,
17.4478,SCAN  ,25.2,10.0,.1,.1,=SUM(C283:F283),73.0,60.0,=H283-G283,=I283-G283,0,0,
3.4102,SCAN   ,25.2,10.0,.1,.0,=SUM(C284:F284),73.0,60.0,=H284-G284,=I284-G284,0,0,
17.2551,SCAN  ,25.1,10.0,.1,.1,=SUM(C285:F285),73.0,60.0,=H285-G285,=I285-G285,0,0,
29.5946,SCAN  ,25.0,10.0,.1,.2,=SUM(C286:F286),73.0,60.0,=H286-G286,=I286-G286,0,0,
17.6273,SCAN  ,24.9,10.0,.1,.1,=SUM(C287:F287),73.0,60.0,=H287-G287,=I287-G287,0,0,
3.0446,SCAN   ,24.9,10.0,.1,.0,=SUM(C288:F288),73.0,60.0,=H288-G288,=I288-G288,0,0,
26.9758,SCAN  ,24.7,10.0,.1,.2,=SUM(C289:F289),73.0,60.0,=H289-G289,=I289-G289,0,0,
3.5896,SCAN   ,24.6,10.0,.1,.0,=SUM(C290:F290),73.0,60.0,=H290-G290,=I290-G290,0,0,
4.2244,SCAN   ,23.9,10.0,.1,.0,=SUM(C291:F291),73.0,60.0,=H291-G291,=I291-G291,0,0,
17.8134,SCAN  ,23.7,10.0,.1,.1,=SUM(C292:F292),73.0,60.0,=H292-G292,=I292-G292,0,0,
5.2779,SCAN   ,22.9,10.0,.1,.0,=SUM(C293:F293),73.0,60.0,=H293-G293,=I293-G293,0,0,
5.7830,SCAN   ,22.8,10.0,.1,.0,=SUM(C294:F294),73.0,60.0,=H294-G294,=I294-G294,0,0,
9.5949,SCAN   ,22.7,10.0,.1,.1,=SUM(C295:F295),73.0,60.0,=H295-G295,=I295-G295,0,0,
8.8903,SCAN   ,22.6,10.0,.1,.1,=SUM(C296:F296),73.0,60.0,=H296-G296,=I296-G296,0,0,
5.4474,SCAN   ,22.3,10.0,.1,.0,=SUM(C297:F297),73.0,60.0,=H297-G297,=I297-G297,0,0,
7.3151,SCAN   ,22.2,10.0,.1,.1,=SUM(C298:F298),73.0,60.0,=H298-G298,=I298-G298,0,0,
5.1782,SCAN   ,22.1,10.0,.1,.0,=SUM(C299:F299),73.0,60.0,=H299-G299,=I299-G299,0,0,
4.4637,SCAN   ,22.1,10.0,.1,.0,=SUM(C300:F300),73.0,60.0,=H300-G300,=I300-G300,0,0,
6.7833,SCAN   ,22.0,10.0,.1,.0,=SUM(C301:F301),73.0,60.0,=H301-G301,=I301-G301,0,0,
8.6377,SCAN   ,21.9,10.0,.1,.1,=SUM(C302:F302),73.0,60.0,=H302-G302,=I302-G302,0,0,
4.8591,SCAN   ,21.9,10.0,.1,.0,=SUM(C303:F303),73.0,60.0,=H303-G303,=I303-G303,0,0,
5.9392,SCAN   ,21.9,10.0,.1,.0,=SUM(C304:F304),73.0,60.0,=H304-G304,=I304-G304,0,0,
6.6770,SCAN   ,21.2,10.0,.1,.1,=SUM(C305:F305),73.0,60.0,=H305-G305,=I305-G305,0,0,
7.8834,SCAN   ,20.8,10.0,.1,.1,=SUM(C306:F306),73.0,60.0,=H306-G306,=I306-G306,0,0,
8.7507,SCAN   ,20.7,10.0,.1,.1,=SUM(C307:F307),73.0,60.0,=H307-G307,=I307-G307,0,0,
