Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
14.334,29.5,10.0,.1,.1,=SUM(B36:E36),73.0,60.0,=G36-F36,=H36-F36,
14.756,29.3,10.0,.1,.1,=SUM(B37:E37),73.0,60.0,=G37-F37,=H37-F37,
15.005,28.9,10.0,.1,.1,=SUM(B38:E38),73.0,60.0,=G38-F38,=H38-F38,
15.062,28.8,10.0,.1,.1,=SUM(B39:E39),73.0,60.0,=G39-F39,=H39-F39,
15.092,30.7,10.0,.1,.1,=SUM(B40:E40),73.0,60.0,=G40-F40,=H40-F40,
15.251,29.0,10.0,.1,.1,=SUM(B41:E41),73.0,60.0,=G41-F41,=H41-F41,
15.437,28.1,10.0,.1,.1,=SUM(B42:E42),73.0,60.0,=G42-F42,=H42-F42,
15.560,27.7,10.0,.1,.1,=SUM(B43:E43),73.0,60.0,=G43-F43,=H43-F43,
15.617,29.2,10.0,.1,.1,=SUM(B44:E44),73.0,60.0,=G44-F44,=H44-F44,
15.677,26.5,10.0,.1,.1,=SUM(B45:E45),73.0,60.0,=G45-F45,=H45-F45,
15.866,25.2,10.0,.1,.1,=SUM(B46:E46),73.0,60.0,=G46-F46,=H46-F46,
15.929,27.1,10.0,.1,.1,=SUM(B47:E47),73.0,60.0,=G47-F47,=H47-F47,
15.999,31.4,10.0,.1,.1,=SUM(B48:E48),73.0,60.0,=G48-F48,=H48-F48,
16.168,32.1,10.0,.1,.1,=SUM(B49:E49),73.0,60.0,=G49-F49,=H49-F49,
16.232,33.3,10.0,.1,.1,=SUM(B50:E50),73.0,60.0,=G50-F50,=H50-F50,
16.355,27.2,10.0,.1,.1,=SUM(B51:E51),73.0,60.0,=G51-F51,=H51-F51,
16.414,27.0,10.0,.1,.1,=SUM(B52:E52),73.0,60.0,=G52-F52,=H52-F52,
16.477,29.0,10.0,.1,.1,=SUM(B53:E53),73.0,60.0,=G53-F53,=H53-F53,
16.537,26.4,10.0,.1,.1,=SUM(B54:E54),73.0,60.0,=G54-F54,=H54-F54,
16.600,26.2,10.0,.1,.1,=SUM(B55:E55),73.0,60.0,=G55-F55,=H55-F55,
16.637,25.4,10.0,.1,.1,=SUM(B56:E56),73.0,60.0,=G56-F56,=H56-F56,
16.657,26.3,10.0,.1,.1,=SUM(B57:E57),73.0,60.0,=G57-F57,=H57-F57,
16.690,25.9,10.0,.1,.1,=SUM(B58:E58),73.0,60.0,=G58-F58,=H58-F58,
16.747,25.5,10.0,.1,.1,=SUM(B59:E59),73.0,60.0,=G59-F59,=H59-F59,
16.773,29.7,10.0,.1,.1,=SUM(B60:E60),73.0,60.0,=G60-F60,=H60-F60,
16.836,30.3,10.0,.1,.1,=SUM(B61:E61),73.0,60.0,=G61-F61,=H61-F61,
16.900,30.3,10.0,.1,.1,=SUM(B62:E62),73.0,60.0,=G62-F62,=H62-F62,
16.959,29.3,10.0,.1,.1,=SUM(B63:E63),73.0,60.0,=G63-F63,=H63-F63,
17.082,30.2,10.0,.1,.1,=SUM(B64:E64),73.0,60.0,=G64-F64,=H64-F64,
17.142,28.5,10.0,.1,.1,=SUM(B65:E65),73.0,60.0,=G65-F65,=H65-F65,
17.209,27.3,10.0,.1,.1,=SUM(B66:E66),73.0,60.0,=G66-F66,=H66-F66,
17.229,26.1,10.0,.1,.1,=SUM(B67:E67),73.0,60.0,=G67-F67,=H67-F67,
17.255,25.1,10.0,.1,.1,=SUM(B68:E68),73.0,60.0,=G68-F68,=H68-F68,
17.328,28.8,10.0,.1,.1,=SUM(B69:E69),73.0,60.0,=G69-F69,=H69-F69,
17.388,31.1,10.0,.1,.1,=SUM(B70:E70),73.0,60.0,=G70-F70,=H70-F70,
17.448,25.1,10.0,.1,.1,=SUM(B71:E71),73.0,60.0,=G71-F71,=H71-F71,
17.511,26.7,10.0,.1,.1,=SUM(B72:E72),73.0,60.0,=G72-F72,=H72-F72,
17.571,31.7,10.0,.1,.1,=SUM(B73:E73),73.0,60.0,=G73-F73,=H73-F73,
17.627,24.9,10.0,.1,.1,=SUM(B74:E74),73.0,60.0,=G74-F74,=H74-F74,
17.697,35.7,10.0,.1,.1,=SUM(B75:E75),73.0,60.0,=G75-F75,=H75-F75,
17.727,26.9,10.0,.1,.1,=SUM(B76:E76),73.0,60.0,=G76-F76,=H76-F76,
17.760,25.6,10.0,.1,.1,=SUM(B77:E77),73.0,60.0,=G77-F77,=H77-F77,
17.813,23.7,10.0,.1,.1,=SUM(B78:E78),73.0,60.0,=G78-F78,=H78-F78,
17.910,27.7,10.0,.1,.1,=SUM(B79:E79),73.0,60.0,=G79-F79,=H79-F79,
17.943,32.5,10.0,.1,.1,=SUM(B80:E80),73.0,60.0,=G80-F80,=H80-F80,
18.066,28.4,10.0,.1,.1,=SUM(B81:E81),73.0,60.0,=G81-F81,=H81-F81,
18.123,28.8,10.0,.1,.1,=SUM(B82:E82),73.0,60.0,=G82-F82,=H82-F82,
18.189,31.0,10.0,.1,.1,=SUM(B83:E83),73.0,60.0,=G83-F83,=H83-F83,
18.249,37.6,10.0,.1,.1,=SUM(B84:E84),73.0,60.0,=G84-F84,=H84-F84,
18.289,30.2,10.0,.1,.1,=SUM(B85:E85),73.0,60.0,=G85-F85,=H85-F85,
18.309,35.4,10.0,.1,.1,=SUM(B86:E86),73.0,60.0,=G86-F86,=H86-F86,
18.368,34.9,10.0,.1,.1,=SUM(B87:E87),73.0,60.0,=G87-F87,=H87-F87,
18.425,31.6,10.0,.1,.1,=SUM(B88:E88),73.0,60.0,=G88-F88,=H88-F88,
18.488,33.7,10.0,.1,.1,=SUM(B89:E89),73.0,60.0,=G89-F89,=H89-F89,
18.548,27.5,10.0,.1,.1,=SUM(B90:E90),73.0,60.0,=G90-F90,=H90-F90,
18.621,30.2,10.0,.1,.1,=SUM(B91:E91),73.0,60.0,=G91-F91,=H91-F91,
18.681,26.7,10.0,.1,.1,=SUM(B92:E92),73.0,60.0,=G92-F92,=H92-F92,
18.764,26.8,10.0,.1,.1,=SUM(B93:E93),73.0,60.0,=G93-F93,=H93-F93,
18.824,29.1,10.0,.1,.1,=SUM(B94:E94),73.0,60.0,=G94-F94,=H94-F94,
18.867,28.9,10.0,.1,.1,=SUM(B95:E95),73.0,60.0,=G95-F95,=H95-F95,
18.884,26.0,10.0,.1,.1,=SUM(B96:E96),73.0,60.0,=G96-F96,=H96-F96,
18.913,35.9,10.0,.1,.1,=SUM(B97:E97),73.0,60.0,=G97-F97,=H97-F97,
19.036,25.7,10.0,.1,.1,=SUM(B98:E98),73.0,60.0,=G98-F98,=H98-F98,
19.096,31.4,10.0,.1,.1,=SUM(B99:E99),73.0,60.0,=G99-F99,=H99-F99,
19.159,33.0,10.0,.1,.1,=SUM(B100:E100),73.0,60.0,=G100-F100,=H100-F100,
19.219,26.1,10.0,.1,.1,=SUM(B101:E101),73.0,60.0,=G101-F101,=H101-F101,
19.282,27.4,10.0,.1,.1,=SUM(B102:E102),73.0,60.0,=G102-F102,=H102-F102,
19.375,28.5,10.0,.1,.1,=SUM(B103:E103),73.0,60.0,=G103-F103,=H103-F103,
19.468,32.5,10.0,.1,.1,=SUM(B104:E104),73.0,60.0,=G104-F104,=H104-F104,
19.528,30.7,10.0,.1,.1,=SUM(B105:E105),73.0,60.0,=G105-F105,=H105-F105,
19.588,34.6,10.0,.1,.1,=SUM(B106:E106),73.0,60.0,=G106-F106,=H106-F106,
19.678,31.2,10.0,.1,.1,=SUM(B107:E107),73.0,60.0,=G107-F107,=H107-F107,
19.714,38.5,10.0,.1,.1,=SUM(B108:E108),73.0,60.0,=G108-F108,=H108-F108,
19.774,32.2,10.0,.1,.1,=SUM(B109:E109),73.0,60.0,=G109-F109,=H109-F109,
19.897,32.9,10.0,.1,.1,=SUM(B110:E110),73.0,60.0,=G110-F110,=H110-F110,
19.960,31.8,10.0,.1,.1,=SUM(B111:E111),73.0,60.0,=G111-F111,=H111-F111,
20.017,32.8,10.0,.1,.1,=SUM(B112:E112),73.0,60.0,=G112-F112,=H112-F112,
20.077,31.8,10.0,.1,.1,=SUM(B113:E113),73.0,60.0,=G113-F113,=H113-F113,
20.166,30.8,10.0,.1,.1,=SUM(B114:E114),73.0,60.0,=G114-F114,=H114-F114,
20.196,35.8,10.0,.1,.1,=SUM(B115:E115),73.0,60.0,=G115-F115,=H115-F115,
20.256,40.7,10.0,.1,.1,=SUM(B116:E116),73.0,60.0,=G116-F116,=H116-F116,
20.319,37.6,10.0,.1,.1,=SUM(B117:E117),73.0,60.0,=G117-F117,=H117-F117,
20.379,37.2,10.0,.1,.1,=SUM(B118:E118),73.0,60.0,=G118-F118,=H118-F118,
20.442,32.8,10.0,.1,.1,=SUM(B119:E119),73.0,60.0,=G119-F119,=H119-F119,
20.502,32.0,10.0,.1,.1,=SUM(B120:E120),73.0,60.0,=G120-F120,=H120-F120,
20.568,31.5,10.0,.1,.1,=SUM(B121:E121),73.0,60.0,=G121-F121,=H121-F121,
20.625,31.8,10.0,.1,.1,=SUM(B122:E122),73.0,60.0,=G122-F122,=H122-F122,
20.688,34.7,10.0,.1,.1,=SUM(B123:E123),73.0,60.0,=G123-F123,=H123-F123,
20.751,29.7,10.0,.1,.2,=SUM(B124:E124),73.0,60.0,=G124-F124,=H124-F124,
20.811,38.1,10.0,.1,.2,=SUM(B125:E125),73.0,60.0,=G125-F125,=H125-F125,
20.871,36.8,10.0,.1,.2,=SUM(B126:E126),73.0,60.0,=G126-F126,=H126-F126,
20.934,35.3,10.0,.1,.2,=SUM(B127:E127),73.0,60.0,=G127-F127,=H127-F127,
20.994,36.7,10.0,.1,.2,=SUM(B128:E128),73.0,60.0,=G128-F128,=H128-F128,
21.030,32.4,10.0,.1,.2,=SUM(B129:E129),73.0,60.0,=G129-F129,=H129-F129,
21.054,37.5,10.0,.1,.2,=SUM(B130:E130),73.0,60.0,=G130-F130,=H130-F130,
21.114,37.5,10.0,.1,.2,=SUM(B131:E131),73.0,60.0,=G131-F131,=H131-F131,
21.180,36.3,10.0,.1,.2,=SUM(B132:E132),73.0,60.0,=G132-F132,=H132-F132,
21.300,30.1,10.0,.1,.2,=SUM(B133:E133),73.0,60.0,=G133-F133,=H133-F133,
21.366,33.3,10.0,.1,.2,=SUM(B134:E134),73.0,60.0,=G134-F134,=H134-F134,
21.379,32.2,10.0,.1,.2,=SUM(B135:E135),73.0,60.0,=G135-F135,=H135-F135,
21.423,29.7,10.0,.1,.2,=SUM(B136:E136),73.0,60.0,=G136-F136,=H136-F136,
21.486,33.3,10.0,.1,.2,=SUM(B137:E137),73.0,60.0,=G137-F137,=H137-F137,
21.516,34.0,10.0,.1,.2,=SUM(B138:E138),73.0,60.0,=G138-F138,=H138-F138,
21.605,33.0,10.0,.1,.2,=SUM(B139:E139),73.0,60.0,=G139-F139,=H139-F139,
21.669,41.5,10.0,.1,.2,=SUM(B140:E140),73.0,60.0,=G140-F140,=H140-F140,
21.722,35.4,10.0,.1,.2,=SUM(B141:E141),73.0,60.0,=G141-F141,=H141-F141,
21.785,28.7,10.0,.1,.2,=SUM(B142:E142),73.0,60.0,=G142-F142,=H142-F142,
21.845,32.6,10.0,.1,.2,=SUM(B143:E143),73.0,60.0,=G143-F143,=H143-F143,
21.908,40.0,10.0,.1,.2,=SUM(B144:E144),73.0,60.0,=G144-F144,=H144-F144,
22.031,37.1,10.0,.1,.2,=SUM(B145:E145),73.0,60.0,=G145-F145,=H145-F145,
22.091,32.9,10.0,.1,.2,=SUM(B146:E146),73.0,60.0,=G146-F146,=H146-F146,
22.150,32.8,10.0,.1,.2,=SUM(B147:E147),73.0,60.0,=G147-F147,=H147-F147,
22.214,38.8,10.0,.1,.2,=SUM(B148:E148),73.0,60.0,=G148-F148,=H148-F148,
22.243,31.8,10.0,.1,.2,=SUM(B149:E149),73.0,60.0,=G149-F149,=H149-F149,
22.307,33.1,10.0,.1,.2,=SUM(B150:E150),73.0,60.0,=G150-F150,=H150-F150,
22.336,35.9,10.0,.1,.2,=SUM(B151:E151),73.0,60.0,=G151-F151,=H151-F151,
22.396,37.7,10.0,.1,.2,=SUM(B152:E152),73.0,60.0,=G152-F152,=H152-F152,
22.459,41.3,10.0,.1,.2,=SUM(B153:E153),73.0,60.0,=G153-F153,=H153-F153,
22.489,32.8,10.0,.1,.2,=SUM(B154:E154),73.0,60.0,=G154-F154,=H154-F154,
22.519,37.1,10.0,.1,.2,=SUM(B155:E155),73.0,60.0,=G155-F155,=H155-F155,
22.582,41.0,10.0,.1,.2,=SUM(B156:E156),73.0,60.0,=G156-F156,=H156-F156,
22.765,30.8,10.0,.1,.2,=SUM(B157:E157),73.0,60.0,=G157-F157,=H157-F157,
22.825,38.1,10.0,.1,.2,=SUM(B158:E158),73.0,60.0,=G158-F158,=H158-F158,
22.888,40.6,10.0,.1,.2,=SUM(B159:E159),73.0,60.0,=G159-F159,=H159-F159,
22.918,29.1,10.0,.1,.2,=SUM(B160:E160),73.0,60.0,=G160-F160,=H160-F160,
22.948,37.3,10.0,.1,.2,=SUM(B161:E161),73.0,60.0,=G161-F161,=H161-F161,
23.008,31.3,10.0,.1,.2,=SUM(B162:E162),73.0,60.0,=G162-F162,=H162-F162,
23.044,27.8,10.0,.1,.2,=SUM(B163:E163),73.0,60.0,=G163-F163,=H163-F163,
23.071,41.9,10.0,.1,.2,=SUM(B164:E164),73.0,60.0,=G164-F164,=H164-F164,
23.134,45.6,10.0,.1,.2,=SUM(B165:E165),73.0,60.0,=G165-F165,=H165-F165,
23.194,36.7,10.0,.1,.2,=SUM(B166:E166),73.0,60.0,=G166-F166,=H166-F166,
23.317,26.1,10.0,.1,.2,=SUM(B167:E167),73.0,60.0,=G167-F167,=H167-F167,
23.373,37.7,10.0,.1,.2,=SUM(B168:E168),73.0,60.0,=G168-F168,=H168-F168,
23.433,38.7,10.0,.1,.2,=SUM(B169:E169),73.0,60.0,=G169-F169,=H169-F169,
23.496,29.9,10.0,.1,.2,=SUM(B170:E170),73.0,60.0,=G170-F170,=H170-F170,
23.556,33.9,10.0,.1,.2,=SUM(B171:E171),73.0,60.0,=G171-F171,=H171-F171,
23.586,32.1,10.0,.1,.2,=SUM(B172:E172),73.0,60.0,=G172-F172,=H172-F172,
23.616,29.3,10.0,.1,.2,=SUM(B173:E173),73.0,60.0,=G173-F173,=H173-F173,
23.646,31.4,10.0,.1,.2,=SUM(B174:E174),73.0,60.0,=G174-F174,=H174-F174,
23.709,32.3,10.0,.1,.2,=SUM(B175:E175),73.0,60.0,=G175-F175,=H175-F175,
23.739,38.5,10.0,.1,.2,=SUM(B176:E176),73.0,60.0,=G176-F176,=H176-F176,
23.862,38.2,10.0,.1,.2,=SUM(B177:E177),73.0,60.0,=G177-F177,=H177-F177,
23.925,29.6,10.0,.1,.2,=SUM(B178:E178),73.0,60.0,=G178-F178,=H178-F178,
23.955,33.7,10.0,.1,.2,=SUM(B179:E179),73.0,60.0,=G179-F179,=H179-F179,
24.001,41.7,10.0,.1,.2,=SUM(B180:E180),73.0,60.0,=G180-F180,=H180-F180,
24.045,39.7,10.0,.1,.2,=SUM(B181:E181),73.0,60.0,=G181-F181,=H181-F181,
24.108,37.3,10.0,.1,.2,=SUM(B182:E182),73.0,60.0,=G182-F182,=H182-F182,
24.257,30.2,10.0,.1,.2,=SUM(B183:E183),73.0,60.0,=G183-F183,=H183-F183,
24.291,36.7,10.0,.1,.2,=SUM(B184:E184),73.0,60.0,=G184-F184,=H184-F184,
24.324,31.0,10.0,.1,.2,=SUM(B185:E185),73.0,60.0,=G185-F185,=H185-F185,
24.354,41.4,10.0,.1,.2,=SUM(B186:E186),73.0,60.0,=G186-F186,=H186-F186,
24.380,31.7,10.0,.1,.2,=SUM(B187:E187),73.0,60.0,=G187-F187,=H187-F187,
24.414,31.2,10.0,.1,.2,=SUM(B188:E188),73.0,60.0,=G188-F188,=H188-F188,
24.473,31.8,10.0,.1,.2,=SUM(B189:E189),73.0,60.0,=G189-F189,=H189-F189,
24.537,40.1,10.0,.1,.2,=SUM(B190:E190),73.0,60.0,=G190-F190,=H190-F190,
