4:36:18 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level
0.405895, 17.0954 , 10 , 0.0807 , 0.02 ,27.1961
0.409218, 16.6896 , 10 , 0.0814 , 0.02 ,26.791
0.412542, 17.4718 , 10 , 0.0821 , 0.02 ,27.5739
0.415865, 17.0479 , 10 , 0.0827 , 0.02 ,27.1506
0.419188, 16.7392 , 10 , 0.0834 , 0.02 ,26.8426
0.422512, 16.7644 , 10 , 0.0841 , 0.02 ,26.8685
0.425835, 16.9739 , 10 , 0.0848 , 0.02 ,27.0787
0.429158, 16.9931 , 10 , 0.0855 , 0.02 ,27.0986
0.432482, 16.4266 , 10 , 0.0861 , 0.02 ,26.5327
0.435805, 16.3745 , 10 , 0.0868 , 0.02 ,26.4813
0.439128, 16.8571 , 10 , 0.0875 , 0.02 ,26.9646
0.442452, 17.5 , 10 , 0.0882 , 0.02 ,27.6082
0.445775, 16.5404 , 10 , 0.0888 , 0.02 ,26.6492
0.449098, 16.8983 , 10 , 0.0895 , 0.02 ,27.0078
0.452422, 17.3311 , 10 , 0.0902 , 0.02 ,27.4413
0.455745, 16.9457 , 10 , 0.0909 , 0.02 ,27.0566
0.459068, 19.0907 , 10 , 0.0915 , 0.02 ,29.2022
0.462391, 19.1449 , 10 , 0.0922 , 0.02 ,29.2571
0.465715, 17.0582 , 10 , 0.0929 , 0.02 ,27.1711
0.469038, 16.6627 , 10 , 0.0936 , 0.02 ,26.7763
0.472361, 16.206 , 10 , 0.0942 , 0.02 ,26.3202
0.475685, 16.9495 , 10 , 0.0949 , 0.02 ,27.0644
0.479008, 17.5754 , 10 , 0.0956 , 0.02 ,27.691
0.482331, 17.4453 , 10 , 0.0963 , 0.02 ,27.5616
0.485655, 17.2039 , 10 , 0.0969 , 0.02 ,27.3208
0.488978, 17.0362 , 10 , 0.0976 , 0.02 ,27.1538
0.492301, 16.7237 , 10 , 0.0983 , 0.02 ,26.842
0.495625, 16.7391 , 10 , 0.099 , 0.02 ,26.8581
0.498948, 16.5579 , 10 , 0.0997 , 0.02 ,26.6776
0.502271, 16.7836 , 10 , 0.1 , 0.02 ,26.9036
0.505595, 15.8242 , 10 , 0.1 , 0.02 ,25.9442
0.508918, 17.9753 , 10 , 0.1 , 0.02 ,28.0953
0.512241, 18.7109 , 10 , 0.1 , 0.02 ,28.8309
0.515564, 19.3195 , 10 , 0.1 , 0.02 ,29.4395
0.518888, 19.4666 , 10 , 0.1 , 0.02 ,29.5866
0.522211, 17.8106 , 10 , 0.1 , 0.02 ,27.9306
0.525534, 17.0112 , 10 , 0.1 , 0.02 ,27.1312
0.528858, 18.3661 , 10 , 0.1 , 0.02 ,28.4861
