Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,FCC Part 15 Class A - Quasi-Peak Limit,FCC Part 15 Class A - Average Limit,FCC Part 15 Class A - Quasi-Peak Margin,FCC Part 15 Class A - Average Margin,Comments
21.605,33.5,10.0,.1,.2,=SUM(B168:E168),73.0,60.0,=G168-F168,=H168-F168,
21.639,31.4,10.0,.1,.2,=SUM(B169:E169),73.0,60.0,=G169-F169,=H169-F169,
21.669,43.2,10.0,.1,.2,=SUM(B170:E170),73.0,60.0,=G170-F170,=H170-F170,
21.722,37.5,10.0,.1,.2,=SUM(B171:E171),73.0,60.0,=G171-F171,=H171-F171,
21.845,33.9,10.0,.1,.2,=SUM(B172:E172),73.0,60.0,=G172-F172,=H172-F172,
21.908,41.4,10.0,.1,.2,=SUM(B173:E173),73.0,60.0,=G173-F173,=H173-F173,
21.974,30.1,10.0,.1,.2,=SUM(B174:E174),73.0,60.0,=G174-F174,=H174-F174,
22.027,37.7,10.0,.1,.2,=SUM(B175:E175),73.0,60.0,=G175-F175,=H175-F175,
22.057,29.8,10.0,.1,.2,=SUM(B176:E176),73.0,60.0,=G176-F176,=H176-F176,
22.091,33.2,10.0,.1,.2,=SUM(B177:E177),73.0,60.0,=G177-F177,=H177-F177,
22.150,33.8,10.0,.1,.2,=SUM(B178:E178),73.0,60.0,=G178-F178,=H178-F178,
22.184,28.0,10.0,.1,.2,=SUM(B179:E179),73.0,60.0,=G179-F179,=H179-F179,
22.214,40.6,10.0,.1,.2,=SUM(B180:E180),73.0,60.0,=G180-F180,=H180-F180,
22.243,34.1,10.0,.1,.2,=SUM(B181:E181),73.0,60.0,=G181-F181,=H181-F181,
22.307,34.4,10.0,.1,.2,=SUM(B182:E182),73.0,60.0,=G182-F182,=H182-F182,
22.336,37.3,10.0,.1,.2,=SUM(B183:E183),73.0,60.0,=G183-F183,=H183-F183,
22.396,39.1,10.0,.1,.2,=SUM(B184:E184),73.0,60.0,=G184-F184,=H184-F184,
22.459,42.5,10.0,.1,.2,=SUM(B185:E185),73.0,60.0,=G185-F185,=H185-F185,
22.489,33.6,10.0,.1,.2,=SUM(B186:E186),73.0,60.0,=G186-F186,=H186-F186,
22.519,38.3,10.0,.1,.2,=SUM(B187:E187),73.0,60.0,=G187-F187,=H187-F187,
22.582,41.6,10.0,.1,.2,=SUM(B188:E188),73.0,60.0,=G188-F188,=H188-F188,
22.612,30.7,10.0,.1,.2,=SUM(B189:E189),73.0,60.0,=G189-F189,=H189-F189,
22.765,31.3,10.0,.1,.2,=SUM(B190:E190),73.0,60.0,=G190-F190,=H190-F190,
22.825,38.9,10.0,.1,.2,=SUM(B191:E191),73.0,60.0,=G191-F191,=H191-F191,
22.888,42.0,10.0,.1,.2,=SUM(B192:E192),73.0,60.0,=G192-F192,=H192-F192,
22.918,29.3,10.0,.1,.2,=SUM(B193:E193),73.0,60.0,=G193-F193,=H193-F193,
22.948,38.2,10.0,.1,.2,=SUM(B194:E194),73.0,60.0,=G194-F194,=H194-F194,
23.011,32.5,10.0,.1,.2,=SUM(B195:E195),73.0,60.0,=G195-F195,=H195-F195,
23.071,43.2,10.0,.1,.2,=SUM(B196:E196),73.0,60.0,=G196-F196,=H196-F196,
23.131,47.1,10.0,.1,.2,=SUM(B197:E197),73.0,60.0,=G197-F197,=H197-F197,
23.194,38.3,10.0,.1,.2,=SUM(B198:E198),73.0,60.0,=G198-F198,=H198-F198,
23.314,28.5,10.0,.1,.2,=SUM(B199:E199),73.0,60.0,=G199-F199,=H199-F199,
23.370,38.5,10.0,.1,.2,=SUM(B200:E200),73.0,60.0,=G200-F200,=H200-F200,
23.433,39.4,10.0,.1,.2,=SUM(B201:E201),73.0,60.0,=G201-F201,=H201-F201,
23.490,31.3,10.0,.1,.2,=SUM(B202:E202),73.0,60.0,=G202-F202,=H202-F202,
23.523,27.5,10.0,.1,.2,=SUM(B203:E203),73.0,60.0,=G203-F203,=H203-F203,
23.556,34.1,10.0,.1,.2,=SUM(B204:E204),73.0,60.0,=G204-F204,=H204-F204,
23.586,33.0,10.0,.1,.2,=SUM(B205:E205),73.0,60.0,=G205-F205,=H205-F205,
23.616,30.4,10.0,.1,.2,=SUM(B206:E206),73.0,60.0,=G206-F206,=H206-F206,
23.649,32.3,10.0,.1,.2,=SUM(B207:E207),73.0,60.0,=G207-F207,=H207-F207,
23.679,31.1,10.0,.1,.2,=SUM(B208:E208),73.0,60.0,=G208-F208,=H208-F208,
23.709,33.9,10.0,.1,.2,=SUM(B209:E209),73.0,60.0,=G209-F209,=H209-F209,
23.739,39.7,10.0,.1,.2,=SUM(B210:E210),73.0,60.0,=G210-F210,=H210-F210,
23.802,27.1,10.0,.1,.2,=SUM(B211:E211),73.0,60.0,=G211-F211,=H211-F211,
23.862,39.3,10.0,.1,.2,=SUM(B212:E212),73.0,60.0,=G212-F212,=H212-F212,
23.925,30.7,10.0,.1,.2,=SUM(B213:E213),73.0,60.0,=G213-F213,=H213-F213,
23.955,32.9,10.0,.1,.2,=SUM(B214:E214),73.0,60.0,=G214-F214,=H214-F214,
24.001,41.4,10.0,.1,.2,=SUM(B215:E215),73.0,60.0,=G215-F215,=H215-F215,
24.045,40.8,10.0,.1,.2,=SUM(B216:E216),73.0,60.0,=G216-F216,=H216-F216,
24.108,38.8,10.0,.1,.2,=SUM(B217:E217),73.0,60.0,=G217-F217,=H217-F217,
24.134,27.1,10.0,.1,.2,=SUM(B218:E218),73.0,60.0,=G218-F218,=H218-F218,
24.168,26.7,10.0,.1,.2,=SUM(B219:E219),73.0,60.0,=G219-F219,=H219-F219,
