4:29:54 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L2
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L2
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level

0.15, 17.4652 , 10 , 0.0287 , 0.05 ,27.5439
0.153323, 17.8073 , 10 , 0.0294 , 0.05 ,27.8867
0.156647, 17.9883 , 10 , 0.0301 , 0.05 ,28.0684
0.15997, 19.0572 , 10 , 0.0307 , 0.04 ,29.1279
0.163293, 19.2384 , 10 , 0.0314 , 0.04 ,29.3098
0.166617, 18.0846 , 10 , 0.0321 , 0.04 ,28.1567
0.16994, 17.2735 , 10 , 0.0328 , 0.04 ,27.3463
0.173263, 16.9294 , 10 , 0.0334 , 0.04 ,27.0028
0.176587, 17.4257 , 10 , 0.0341 , 0.04 ,27.4998
0.17991, 17.9662 , 10 , 0.0348 , 0.04 ,28.041
0.183233, 18.6684 , 10 , 0.0355 , 0.04 ,28.7439
0.186556, 16.7236 , 10 , 0.0362 , 0.04 ,26.7998
0.18988, 17.9795 , 10 , 0.0368 , 0.03 ,28.0463
0.193203, 17.9993 , 10 , 0.0375 , 0.04 ,28.0768
0.196526, 18.3366 , 10 , 0.0382 , 0.0313 ,28.4061
0.19985, 19.1906 , 10 , 0.0388 , 0.03 ,29.2594
0.203173, 18.7842 , 10 , 0.0395 , 0.03 ,28.8537
0.206496, 17.0713 , 10 , 0.0402 , 0.03 ,27.1415
0.20982, 17.5679 , 10 , 0.0409 , 0.03 ,27.6388
0.213143, 17.6979 , 10 , 0.0415 , 0.03 ,27.7694
0.216466, 17.2032 , 10 , 0.0422 , 0.03 ,27.2754
0.21979, 19.3483 , 10 , 0.0429 , 0.03 ,29.4212
0.223113, 19.8694 , 10 , 0.0436 , 0.03 ,29.943
0.226436, 18.0411 , 10 , 0.0443 , 0.03 ,28.1154
0.22976, 18.182 , 10 , 0.0449 , 0.03 ,28.2569
0.233083, 17.9743 , 10 , 0.0456 , 0.03 ,28.0499
0.236406, 17.4842 , 10 , 0.0463 , 0.03 ,27.5605
0.239729, 17.6131 , 10 , 0.0469 , 0.0284 ,27.6884
0.243053, 18.2573 , 10 , 0.0476 , 0.0236 ,28.3285
0.246376, 18.3557 , 10 , 0.0483 , 0.03 ,28.434
0.249699, 16.8938 , 10 , 0.049 , 0.03 ,26.9728
0.253023, 17.8712 , 10 , 0.0497 , 0.03 ,27.9509
0.256346, 18.6912 , 10 , 0.0503 , 0.02 ,28.7615
0.259669, 18.7369 , 10 , 0.051 , 0.02 ,28.8079
0.262993, 17.8283 , 10 , 0.0517 , 0.026 ,27.906
0.266316, 16.8405 , 10 , 0.0524 , 0.0219 ,26.9148
0.269639, 16.8754 , 10 , 0.053 , 0.02 ,26.9484
0.272963, 17.5776 , 10 , 0.0537 , 0.02 ,27.6513
0.276286, 17.5286 , 10 , 0.0544 , 0.02 ,27.603
0.279609, 16.7729 , 10 , 0.0551 , 0.02 ,26.848
0.282933, 17.1933 , 10 , 0.0557 , 0.02 ,27.269
0.286256, 16.7545 , 10 , 0.0564 , 0.02 ,26.8309
0.289579, 16.6133 , 10 , 0.0571 , 0.02 ,26.6904
0.292902, 16.8815 , 10 , 0.0578 , 0.02 ,26.9593
0.296226, 17.1934 , 10 , 0.0584 , 0.02 ,27.2718
0.299549, 17.2211 , 10 , 0.0591 , 0.02 ,27.3002
0.302872, 17.1752 , 10 , 0.0598 , 0.02 ,27.255
0.306196, 17.159 , 10 , 0.0605 , 0.02 ,27.2395
0.309519, 16.2143 , 10 , 0.0611 , 0.02 ,26.2954
0.312842, 16.6192 , 10 , 0.0618 , 0.02 ,26.701
0.316166, 16.3938 , 10 , 0.0625 , 0.02 ,26.4763
0.319489, 18.1019 , 10 , 0.0632 , 0.02 ,28.1851
0.322812, 18.1097 , 10 , 0.0638 , 0.02 ,28.1935
0.326136, 16.7093 , 10 , 0.0645 , 0.02 ,26.7938
